num_ID,date_ID,collectiondate,year,num_month,month,season,dayssince,age,sex,species,phase,latitude,longitude,culmen1,culmen2,middle_toe,total_head,total_tarsus,wing,thaw_mass,ingestafree_mass,defeathered_mass,wet_bodymass,dry_mass,ab_fat,blg,breast,fat_mass,fat_percent,protein_mass,protein_percent,water_mass,water_percent,ash_mass,ash_percent
195,10/5/15-1,10/5/2015,2015,10,October,1,0,J,F,GWFG,,34.46,-91.8,46.7,54.7,57,101.1,76.3,387,1808,1740.3,1677,1609.3,672.69,39.5,304.4,148.1,261.6080892,38.89,337.81,82.18,936.61,58.2,73.27,17.82
196,10/8/15-1,10/8/2015,2015,10,October,1,3,J,F,GWFG,,34.47,-91.79,44.1,53,64.1,103.4,83.2,375,1662,1637.2,1528,1503.2,628.34,18.5,300.8,147.1,160.5961235,25.56,377.84,80.78,874.86,58.2,89.9,19.22
130,10/10/15-1 ,10/10/2015,2015,10,October,1,5,A,M,GWFG,,34.48,-91.69,46.3,54.7,71.3,111,91.3,438,2544,2502.6,2380,2338.6,977.53,44,426.2,227.7,361.4979359,36.98,496.65,80.62,1361.07,58.2,119.39,19.38
131,10/10/15-2,10/10/2015,2015,10,October,1,5,A,M,GWFG,,34.47,-91.69,54.7,62.6,67,115,90.9,437,2338,2298.2,2193,2153.2,900.04,5.4,427.9,226.5,124.7927001,13.87,638.36,82.34,1253.16,58.2,136.89,17.66
133,10/10/15-4,10/10/2015,2015,10,October,1,5,A,F,GWFG,,34.47,-91.68,48.8,53.5,62.4,103.9,82.4,430,2190,2113.1,2041,1964.1,820.99,55.6,364.2,179.9,372.0031488,45.31,376.02,83.75,1143.11,58.2,72.97,16.25
134,10/11/15-1,10/11/2015,2015,10,October,1,6,J,M,GWFG,,34.47,-91.69,49.1,55.9,69.2,109.3,87.6,422,1963,1905,1839,1781,744.46,23.4,337.1,175,244.2985483,32.82,415.05,82.98,1036.54,58.2,85.11,17.02
135,10/11/15-2,10/11/2015,2015,10,October,1,6,A,M,GWFG,,34.47,-91.69,46.7,52.1,61.3,104.3,84.7,428,1892,1829.7,1693,1630.7,681.63,4.8,324.4,174.7,87.56098606,12.85,498.18,83.86,949.07,58.2,95.89,16.14
136,10/11/15-3,10/11/2015,2015,10,October,1,6,A,F,GWFG,,34.48,-91.69,50,55.1,61.1,104.4,83.6,414,2020,1967.1,1825,1772.1,740.74,45.4,319.3,174.1,312.0932575,42.13,356.47,83.16,1031.36,58.2,72.17,16.84
139,10/12/15-1,10/12/2015,2015,10,October,1,7,A,F,GWFG,,34.47,-91.69,46.1,53.3,64.6,105.8,83,399,2377,2317.4,2226,2166.4,905.56,36.9,410.8,199.3,347.7146955,38.4,459.12,82.3,1260.84,58.2,98.72,17.7
140,10/12/15-2,10/12/2015,2015,10,October,1,7,J,M,GWFG,,34.47,-91.69,51.2,61.9,68.5,114.2,87.5,412,2391,2323.6,2249,2181.6,911.91,77.7,398,193.5,437.5406951,47.98,395.51,83.38,1269.69,58.2,78.86,16.62
142,10/14/15-1,10/14/2015,2015,10,October,1,9,A,F,GWFG,,34.48,-91.8,50.7,60.2,63.9,109,84.9,419,2343,2309.6,2154,2120.6,886.41,61.5,371.4,200.4,383.4490149,43.26,422.44,83.99,1234.19,58.2,80.52,16.01
143,10/14/15-2,10/14/2015,2015,10,October,1,9,J,M,GWFG,,34.48,-91.8,56,66.4,68,115.2,88.4,394,2217,2183.7,2087,2053.7,858.45,50.6,381.8,219.8,334.772781,39,435.94,83.25,1195.25,58.2,87.73,16.75
144,10/15/15-1,10/15/2015,2015,10,October,1,10,J,M,GWFG,,34.48,-91.8,46.7,55.4,69.2,106,89.7,406,2211,2149.4,1988,1926.4,805.24,63.2,314.4,168.2,327.9514056,40.73,410.63,86.03,1121.16,58.2,66.66,13.97
145,10/15/15-2,10/15/2015,2015,10,October,1,10,J,M,GWFG,,34.48,-91.8,53,63.1,68.7,112.7,88.2,423,2317,2237.1,2140,2060.1,861.12,51.3,361.5,187.1,339.3411978,39.41,437.19,83.79,1198.98,58.2,84.59,16.21
146,10/15/15-3,10/15/2015,2015,10,October,1,10,A,M,GWFG,,34.47,-91.69,51.3,59.2,64.1,111.7,84.2,428,2359,2298.7,2176,2115.7,884.36,31.7,401.2,209.5,307.8685755,34.81,482.29,83.66,1231.34,58.2,94.2,16.34
147,10/15/15-4,10/15/2015,2015,10,October,1,10,A,F,SNGO,W,34.47,-91.69,56.2,64.5,62,112.1,96.6,422,2156,2053,2028,1925,746.9,13,361.7,166.2,177.1984146,23.72,469.59,82.43,1178.1,61.2,100.11,17.57
148,10/15/15-5,10/15/2015,2015,10,October,1,10,J,M,GWFG,,34.47,-91.69,50,58.3,66.3,110.5,86.8,398,2147,2103.6,2065,2021.6,845.03,71.4,335.4,172.5,407.4855336,48.22,370.4,84.66,1176.57,58.2,67.14,15.34
151,10/17/15-3,10/17/2015,2015,10,October,1,12,A,M,GWFG,,34.47,-91.8,51,56.4,64.2,107.8,88.9,441,2487,2350.4,2300,2163.4,904.3,39.4,402.4,222.7,292.7508808,32.37,513.56,83.98,1259.1,58.2,97.99,16.02
152,10/17/15-4,10/17/2015,2015,10,October,1,12,J,F,GWFG,,34.47,-91.8,51.2,59.7,64.5,108,86.7,398,2083,2033.5,1925,1875.5,783.96,36.3,347.4,191.9,281.5612126,35.92,411.53,81.91,1091.54,58.2,90.87,18.09
153,10/17/15-5,10/17/2015,2015,10,October,1,12,A,M,GWFG,,34.47,-91.8,54.3,60.5,66.9,112.7,90,443,2355,2237.5,2157,2039.5,852.51,14.2,356.5,210.2,181.9214658,21.34,550.87,82.15,1186.99,58.2,119.72,17.85
154,10/18/15-1,10/18/2015,2015,10,October,1,13,A,M,GWFG,,34.47,-91.8,54.3,61.7,72.9,113.4,92.2,438,2770,2702.3,2480,2412.3,1008.34,31.9,462.5,250.4,311.192964,30.86,561.4,80.53,1403.96,58.2,135.75,19.47
155,10/18/15-10,10/18/2015,2015,10,October,1,13,J,F,GWFG,,34.47,-91.8,47.3,54.5,62.2,103.5,81.5,401,2066,1976.2,1959,1869.2,781.33,62.1,317.6,156.8,369.4379391,41.99,370.43,81.73,1087.87,58.2,82.81,18.27
156,10/18/15-11,10/18/2015,2015,10,October,1,13,A,F,ROGO,W,34.47,-91.8,41.9,47.5,52.5,99.8,83.2,367,1546,1449.1,1428,1331.1,505.82,8.9,237.2,132.5,156.0703829,30.86,297.95,85.19,825.28,62,51.8,14.81
157,10/18/15-12,10/18/2015,2015,10,October,1,13,J,M,ROGO,W,34.47,-91.8,39.6,48.8,53.2,90.1,87.8,379,1539,1506.4,1399,1366.4,519.23,60.6,225.4,122.8,247.2518952,47.62,229.09,84.23,847.17,62,42.89,15.77
158,10/18/15-13,10/18/2015,2015,10,October,1,13,A,M,GWFG,,34.47,-91.8,53.2,59.3,63.1,111.9,87.5,422,2704,2625.8,2416,2337.8,977.2,68.4,384.7,210.6,308.8624592,44.82,446.84,82.86,1360.6,58.2,92.4,17.14
159,10/18/15-14,10/18/2015,2015,10,October,1,13,A,M,GWFG,,34.47,-91.8,54.3,62.9,66,113,89.1,421,2520,2417.2,2342,2239.2,935.99,34.6,428.8,234.2,377.3985761,31.64,524.02,81.9,1303.21,58.2,115.85,18.1
160,10/18/15-2,10/18/2015,2015,10,October,1,13,J,M,GWFG,,34.47,-91.8,53.2,61.1,65.2,111.2,87.2,415,2454,2380.5,2195,2121.5,886.79,69.7,383.8,177.7,169.8843768,41.66,438.12,84.68,1234.71,58.2,79.23,15.32
161,10/18/15-3,10/18/2015,2015,10,October,1,13,A,M,GWFG,,34.47,-91.8,56.9,66.3,66.3,116.2,88.3,433,2660,2590.7,2452,2382.7,995.97,30.1,459.1,239.5,308.2116338,31.01,567.82,82.64,1386.73,58.2,119.28,17.36
162,10/18/15-4,10/18/2015,2015,10,October,1,13,A,M,GWFG,,34.47,-91.8,53.3,58.6,63.5,113.2,86.4,423,2917,2836.9,2574,2493.9,1042.45,45,468.6,230.8,306.4202114,36.2,544.36,81.85,1451.45,58.2,120.69,18.15
